elapsed,247254,1619124984225,intermediate
8WY2QMY5FIK1,strike,the batter swung and missed.
1TWEE7PPIH4B,strike,it was in the strike zone.
RWU6BHSSL0T2,play,the batter grounded out to the second baseman.
U3SI5U9U1HE0,strike,the batter swung and missed.
33ID1QJSJQ1N,out,it was caught in the air.
6HKS15CHSUYF,none,there is no video.
3IHX0R4HFCYP,strike,the batter takes it in the strike zone.
L9OZJIH12KYN,play,and it was grounded to third.
044DXEZHB3IT,play,it was grounded out to short.
3WBIZOWQQHI6,strike,the batter swung and missed.
