elapsed,298824,1617239812038,advanced
S9G4HUPXHQ8U,out,the batter hit a line drive to the left fielder
4PBEN4XA2EUW,foul,the batter fouled it of the end of the bat
1S6XXQ1STVS7,out,the batter flew out to center.
251OPGEBI6O1,out,the batter flew out to center
T0Q1YZKH7CYF,none,there was no video of the the aftermath of the pitch
J5VIP53K4AOX,out,the batter flew out to center
IAL7M0MX0Q1G,strike,the batter did not swing and the pitch was called a strike
OTK9UVIZ6824,strike,the batter did not swing at a called strike
BKWOGUE6E77R,foul,the batter hit the the ball out of play
PWTEKZ8AGGP9,ball,The batter checked his swing and the ball was out of the strike zone. 
