elapsed,493348,1619208494149,advanced
E2OX42OO4R4T,ball,then it was out of the strike zone.
DE4ORF6KU31Y,out,the batter hit the ball in the air and the right fielder caught the ball.
IH9AP74DOUZW,play,the batter hit a ground ball to third and the 3rd baseman fielded the ball and threw the runner out at first.
LTAHTDNCLCSF,strike,the batter watched it as it went in the strike zone.
L85DB5TLK0W9,strike,the batter watched the ball as it went through the strike zone.
NUAINWFORF2D,out,the batter popped the ball in the air and the right fielder caught the ball.
GY8DSNQXE6RO,ball,the ball was out of the strike zone.
PV14MDPG6C9N,out,the batter hit the ball in the air where it was caught by the right fielder.
ZCSI54J6K4F0,play,the batter hit the ball into right field where it landed for a base hit.
MYKKACKL74WT,strike,and the batter swung at the ball and missed for a strike.
