elapsed,185924,1620067931990,advanced
JGOX0IUR09OL,out,then the batter hit a line drive to the center fielder. 
2WYD4S4UU9OM,foul,then the batter hit it out of play. 
5C4Q20HAQCUQ,play,then it was hit on the ground. 
MXCOSU722CEG,foul,then it was hit out of play. 
O1VCGDWZG47C,foul,then it was hit out of bounds. 
4T441TYPQ4RY,foul,then it was hit out of bounds. 
EXBDM5PFF12O,foul,then it was hit out of bounds. 
XQQPJI02OR4Z,play,then it was hit into the left-center gap leading to a double. 
R9VHW27XBS6Q,ball,then the umpire called it a ball. 
A6BR6FG0ZWX9,out,then it was hit into the air and caught by the third baseman. 
