"The bird has belly.", ""
"The bird has sharp pointed beak with its crown.", ""
"This bird is all white except for a black cap.", ""
"The short fat bird has a white underbelly.", ""
"The bird has a red throat.", ""
"This bird has yellow feathers.", ""
"The bird is blue with a long tail with grey tip.", ""
"A short beaked bird with a dark gray cheek patch.", ""
"A bird with a small pointed bill.", ""
"Medium sized bird that is white all over.", ""
"The bird has a breast that is red.", ""
"A small sized bird with a white underbelly.", ""
"This is a grey bird with yellow feet.", ""
"This bird has black cheek patch.", ""
"A swimming bird with a black ace.", ""
"Its foot are black.", ""
"A yellow bird with a tint of black wings with an average head.", ""
"This is a small bird that is tan.", ""
"This bird has a orange head.", ""
"A white breasted bird with yellow wingbars.", ""
"This bird has a white belly with a black crown on its head.", ""
"This bird has a large beak.", ""
"This is a blue bird with cream colored belly.", ""
"A small orange billed bird with a brown orange crest.", ""
"A brown bird with white spots all over.", ""
"A black bird with red rimmed eyes.", ""
"This bird has a brown rusty body with black on the top.", ""
"This small yellow bird has a gray bill.", ""
"The neck of the bird is black.", ""
"The bird has a white body.", ""
"This bird is off white.", ""
"Large gray toned bird with black eyes.", ""
"This little bird has a white belly.", ""
"A bird with a very small pointed bill.", ""
"Large eyed bright bird with yellow as the main colors.", ""
"This is a bird with blue wings.", ""
"Small bird with cream underside.", ""
"This tiny bird is colorful with humming wings.", ""
"The bird has curved feet.", ""
"The bird is yellow with a small brown beak.", ""
"This whitish bird has bright yellow rectrices.", ""
"This bright little yellow bird has wings of yellow.", ""
"A red bird with a gray bill with a black feet.", ""
"A small yellow bird with a small red eye.", ""
"A swimming bird with the top of the body that is black.", ""
"The small bird is grey with a white belly.", ""
"This is a small fat bird with a yellow head white belly.", ""
"The bird has white belly.", ""
"Stout bird with cream colored rectrices.", ""
"A primarily white bird with black strips on its tail.", ""
"A bird with a long body.", ""
"An iridescent black winged bird with a white throat.", ""
"This bird has black feathers.", ""
"A white breasted bird with grey wings.", ""
"The bird has red feathers.", ""
"This bird has a white belly with brown spots.", ""
"A large bird that enjoys water.", ""
"This bird has head proportional to its body.", ""
"The bird has a long white throat as well as a black eyering.", ""
"A dull small brown bird with a dark cheek patch.", ""
"A small bird with a small beak.", ""
"A black bird with a white belly.", ""
"The feathers of this bird are ruffled.", ""
"This brown slim bird has a long tail with high nape.", ""
"This pretty bird is round.", ""
"This camouflaged bird is brown flecked with a black eye.", ""
"This small grey bird has a vivid black lining its neck.", ""
"The bird has a long bill that is black.", ""
"This is an orange patche around its eyes.", ""
"A small bird with white wingbars.", ""
"Small red bird with black feathers to its tail.", ""
"A small puffy bird with a white belly.", ""
"The bird has bright yellow feathers.", ""
"A small bird with round body.", ""
"A small bird with a green belly.", ""
"The bird has two large wingbars that are black.", ""
"This is a yellow bird with a black throat.", ""
"This magnificent bird has a white belly.", ""
"This is a bright yellow bird with grayish wings.", ""
"The small colorful bird has eyering.", ""
"The bird has a thick brown beak.", ""
"Small bird with black wings.", ""
"This bird is almost entirely light gray with darker secondaries.", ""
"This bird has a white breast.", ""
"The yellow bird has a narrow beak.", ""
"This bird is yellow with a short pointy beak.", ""
"This bird is black overall with a heavy black beak.", ""
"This is a small red bird with a grey beak.", ""
"There is an all black bird with dark brown eyes.", ""
"The bird is yellow with a tan belly.", ""
"The bird has black crown.", ""
"A medium bird with grey wings.", ""
"A bird with white spots on a white belly.", ""
"The bird has a small black bill.", ""
"This bird has black feathers.", ""
"This is a grey bird with a brown belly.", ""
"The bird has a brown head.", ""
"The bird has a small eyering that is orange.", ""
"This bird has a white belly with brown wings.", ""
"This is a grey bird with a white breast.", ""
